question,optionA,optionB,optionC,optionD,correctAnswer
"下列哪個成語的意思是「形容人很快樂」？","眉飛色舞","一針見血","雪中送炭","萬紫千紅","A"
"「庖丁解牛」中的「庖丁」是指什麼職業？","農夫","廚師","商人","教師","B"
"「望梅止渴」這個成語是誰說的？","劉備","曹操","孫權","司馬遷","B"
"「負荊請罪」中的「荊」指的是什麼？","荊棘","荊州","布料","木板","A"
"下列哪個成語描述「說話辦事非常痛快」？","拖泥帶水","大刀闊斧","小心翼翼","優柔寡斷","B"
"「一字千金」原指誰的文章？","李白","杜甫","韓愈","王羲之","C"
"「完璧歸趙」中的「璧」指的是什麼？","玉器","銅鏡","金幣","寶劍","A"
"「甕中捉鱉」比喻什麼？","困難","容易","危險","麻煩","B"
"「狐假虎威」中的狐狸假借了誰的威風？","獅子","老虎","豹子","狼","B"
"「守株待兔」這個故事發生在哪個朝代？","夏朝","商朝","宋朝","明朝","C"